datetime	T	RH	WS	SOL	RAIN	PRESS
2018-09-04 10:30:00	14.110	86.400	1.432	0.160	0.000	1016.000
2018-09-04 10:45:00	14.330	85.700	1.158	0.140	0.000	1016.000
2018-09-04 11:00:00	14.310	84.900	1.344	0.120	0.000	1016.000
2018-09-04 11:15:00	14.300	85.400	1.382	0.120	0.000	1016.000
2018-09-04 11:30:00	14.280	85.000	1.342	0.130	0.000	1016.000
2018-09-04 11:45:00	14.240	85.700	1.435	0.150	0.000	1016.000
2018-09-04 12:00:00	14.160	84.300	1.454	0.140	0.000	1016.000
2018-09-04 12:15:00	14.560	82.700	1.236	0.170	0.000	1016.000
2018-09-04 12:30:00	14.620	81.600	1.546	0.180	0.000	1016.000
2018-09-04 12:45:00	14.850	82.900	1.239	0.160	0.000	1016.000
2018-09-04 13:00:00	14.680	81.600	1.257	0.140	0.000	1016.000
2018-09-04 13:15:00	14.890	82.000	1.339	0.180	0.000	1016.000
2018-09-04 13:30:00	14.870	81.000	1.295	0.150	0.000	1016.000
2018-09-04 13:45:00	14.980	79.880	1.357	0.140	0.000	1016.000
2018-09-04 14:00:00	15.120	80.900	1.313	0.140	0.000	1016.000
2018-09-04 14:15:00	15.320	79.510	1.116	0.130	0.000	1016.000
2018-09-04 14:30:00	15.360	79.380	1.389	0.110	0.000	1016.000
2018-09-04 14:45:00	15.370	80.600	1.462	0.110	0.000	1016.000
2018-09-04 15:00:00	15.170	80.800	1.736	0.100	0.000	1016.000
2018-09-04 15:15:00	15.060	82.400	1.761	0.100	0.000	1016.000
2018-09-04 15:30:00	14.940	82.200	1.770	0.100	0.000	1016.000
2018-09-04 15:45:00	14.930	82.600	1.633	0.090	0.000	1016.000
2018-09-04 16:00:00	14.890	83.800	1.670	0.080	0.000	1016.000
2018-09-04 16:15:00	14.820	84.600	1.639	0.090	0.000	1016.000
2018-09-04 16:30:00	14.850	83.600	1.757	0.080	0.000	1016.000
2018-09-04 16:45:00	14.740	84.800	1.832	0.070	0.000	1016.000
2018-09-04 17:00:00	14.750	83.900	1.864	0.060	0.000	1016.000
2018-09-04 17:15:00	14.710	83.600	2.067	0.060	0.000	1016.000
2018-09-04 17:30:00	14.860	83.400	1.535	0.060	0.000	1016.000
2018-09-04 17:45:00	15.010	83.600	1.395	0.060	0.000	1016.000
2018-09-04 18:00:00	14.950	83.200	1.679	0.040	0.000	1016.000
2018-09-04 18:15:00	15.010	83.000	1.255	0.030	0.000	1016.000
2018-09-04 18:30:00	15.030	82.900	1.224	0.030	0.000	1016.000
2018-09-04 18:45:00	15.140	82.100	1.213	0.040	0.000	1016.000
2018-09-04 19:00:00	15.200	81.600	1.093	0.040	0.000	1016.000
2018-09-04 19:15:00	15.220	81.600	0.910	0.020	0.000	1016.000
2018-09-04 19:30:00	15.190	82.100	1.103	0.010	0.000	1016.000
2018-09-04 19:45:00	15.120	82.700	1.042	0.010	0.000	1016.000
2018-09-04 20:00:00	15.140	81.500	0.660	0.000	0.000	1016.000
2018-09-04 20:15:00	15.120	80.800	0.790	0.000	0.000	1016.000
2018-09-04 20:30:00	15.140	81.400	0.760	0.000	0.000	1016.000
2018-09-04 20:45:00	15.110	82.300	0.730	0.000	0.000	1016.000
2018-09-04 21:00:00	15.000	82.600	0.880	0.000	0.000	1016.000
2018-09-04 21:15:00	14.800	84.200	0.880	0.000	0.000	1016.000
2018-09-04 21:30:00	14.300	86.500	0.540	0.000	0.000	1016.000
2018-09-04 21:45:00	13.960	87.000	0.610	0.000	0.000	1016.000
2018-09-04 22:00:00	13.770	88.200	0.500	0.000	0.000	1016.000
2018-09-04 22:15:00	13.480	89.700	0.290	0.000	0.000	1016.000
2018-09-04 22:30:00	13.350	90.100	0.280	0.000	0.000	1017.000
2018-09-04 22:45:00	13.640	88.900	0.440	0.000	0.000	1017.000
2018-09-04 23:00:00	13.860	88.500	0.380	0.000	0.000	1017.000
2018-09-04 23:15:00	13.970	88.300	0.340	0.000	0.000	1016.000
2018-09-04 23:30:00	14.090	87.400	0.480	0.000	0.000	1016.000
2018-09-04 23:45:00	14.160	87.400	0.410	0.000	0.000	1016.000
2018-09-05 00:00:00	14.200	87.000	0.620	0.000	0.000	1016.000
2018-09-05 00:15:00	14.270	86.700	0.750	0.000	0.000	1016.000
2018-09-05 00:30:00	14.300	86.900	1.031	0.000	0.000	1016.000
2018-09-05 00:45:00	14.310	87.200	1.056	0.000	0.000	1016.000
2018-09-05 01:00:00	14.330	87.200	0.720	0.000	0.000	1016.000
2018-09-05 01:15:00	14.360	87.300	0.940	0.000	0.000	1016.000
2018-09-05 01:30:00	14.350	87.100	0.700	0.000	0.000	1016.000
2018-09-05 01:45:00	14.370	87.600	0.630	0.000	0.000	1016.000
2018-09-05 02:00:00	14.330	88.200	0.620	0.000	0.000	1016.000
2018-09-05 02:15:00	14.250	88.900	0.520	0.000	0.000	1016.000
2018-09-05 02:30:00	14.160	88.700	0.760	0.000	0.000	1016.000
2018-09-05 02:45:00	14.120	85.300	0.660	0.000	0.000	1016.000
2018-09-05 03:00:00	14.200	85.800	0.690	0.000	0.000	1016.000
2018-09-05 03:15:00	14.050	83.400	0.670	0.000	0.000	1016.000
2018-09-05 03:30:00	14.080	82.200	0.910	0.000	0.000	1016.000
2018-09-05 03:45:00	14.060	82.600	0.590	0.000	0.000	1016.000
